xmin,ymin,xmax,ymax,Frame,Label
58,233,71,253,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00004.jpeg,PedestrianNV
32,229,54,284,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00010.jpeg,PedestrianNV
211,211,221,237,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00014.jpeg,PedestrianNV
269,235,279,254,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00015.jpeg,PedestrianNV
483,257,499,286,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00028.jpeg,PedestrianNV
496,256,511,287,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00028.jpeg,PedestrianNV
155,240,166,268,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00047.jpeg,PedestrianNV
98,236,110,268,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00053.jpeg,PedestrianNV
314,210,340,271,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
260,207,280,270,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
280,213,293,269,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
291,220,303,270,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
240,216,260,272,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
302,222,315,270,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00088.jpeg,PedestrianNV
393,215,402,233,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00111.jpeg,PedestrianNV
613,188,639,265,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00119.jpeg,PedestrianNV
456,210,478,270,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00157.jpeg,PedestrianNV
350,216,358,240,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00165.jpeg,PedestrianNV
354,229,368,267,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00261.jpeg,PedestrianNV
332,227,348,268,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00261.jpeg,PedestrianNV
321,228,336,254,V:/RO01/DataLake/DCS03/NV5 CNN data/FLIR_DATASET/FLIR_ADAS_1_3/train/thermal_8_bit/FLIR_00263.jpeg,PedestrianNV
